"sergile"->"başyapıt":1,"vasat":46 bin,result:-4.326929537043505
"metraj"->"başyapıt":284,"vasat":bin,result:-0.21085336531489324
"müzisyen"->"başyapıt":650,"vasat":914,result:0.18779545554709334
"dâhilî"->"başyapıt":138,"vasat":701,result:-0.37001063692735303
"meziyet"->"başyapıt":1,"vasat":964,result:-2.6482487392647616
"kitap"->"başyapıt":25 bin,"vasat":16 bin,result:0.529648320654182
"fel"->"başyapıt":8,"vasat":965,result:-1.7456090317137798
"fen"->"başyapıt":bin,"vasat":bin,result:0.3358282946380691
"yetişkin"->"başyapıt":469,"vasat":bin,result:0.0070011373531524024
"fes"->"başyapıt":2,"vasat":262,result:-1.7814430010176951
"çizik"->"başyapıt":4,"vasat":975,result:-2.0511163297325052
"çizim"->"başyapıt":616,"vasat":549,result:0.3858366623524027
"primatlar"->"başyapıt":1,"vasat":43,result:-1.2976401609415174
"kâfiristan"->"başyapıt":1,"vasat":1,result:0
"provoke"->"başyapıt":27,"vasat":bin,result:-1.2328079412029436
"evvela"->"başyapıt":2,"vasat":268,result:-1.7912765037267384
"yobaz"->"başyapıt":2,"vasat":6 bin,result:-3.1412929600815933
"görmez"->"başyapıt":17,"vasat":513,result:-1.1438401490954733
"sunu"->"başyapıt":bin,"vasat":521,result:0.6189905713385446
"karpuz"->"başyapıt":137,"vasat":4 bin,result:-1.1295111295334865
"elem"->"başyapıt":1,"vasat":502,result:-2.3648754225069504
"tramvay"->"başyapıt":36,"vasat":722,result:-0.9664064021642828
"toplumsal"->"başyapıt":8 bin,"vasat":4 bin,result:0.6368582903020503
"topik"->"başyapıt":27,"vasat":4 bin,result:-1.8348679325309059
"aymaz"->"başyapıt":46,"vasat":1,result:1.9985861263196432
"davet"->"başyapıt":468,"vasat":3 bin,result:-0.47104710700746927
"melez"->"başyapıt":4,"vasat":bin,result:-2.0621117140339686
"esirge"->"başyapıt":1,"vasat":1,result:0
"suni"->"başyapıt":311,"vasat":488,result:0.14016886166219597
"nörolog"->"başyapıt":1,"vasat":2 bin,result:-2.965201701025912
"pisipisi"->"başyapıt":1,"vasat":3 bin,result:-3.1412929600815933
"saatlerce"->"başyapıt":bin,"vasat":924,result:0.37015632341796245
"sinemacı"->"başyapıt":263,"vasat":604,result:-0.025252895493304804
"sosyetik"->"başyapıt":254,"vasat":5 bin,result:-0.9583079930780116
"çekince"->"başyapıt":69,"vasat":bin,result:-0.8253226146246755
"nakarat"->"başyapıt":95,"vasat":2 bin,result:-0.9874780957370644
"çekingen"->"başyapıt":1,"vasat":185,result:-1.9313434337649447
"prensip"->"başyapıt":28,"vasat":164,result:-0.4318575220674095
"samsun"->"başyapıt":7 bin,"vasat":bin,result:1.180926334652326
"mefhum"->"başyapıt":1,"vasat":87,result:-1.6036909579805494
"Karagöz"->"başyapıt":37,"vasat":4 bin,result:-1.6980299726228982
"hangi"->"başyapıt":2 bin,"vasat":9 bin,result:-0.3173842191372746
"buğula"->"başyapıt":1,"vasat":1,result:0
"üste"->"başyapıt":2 bin,"vasat":4 bin,result:0.03479829897408794
"otobiyografik"->"başyapıt":865,"vasat":15,result:2.096753143047202
"çizgi"->"başyapıt":3 bin,"vasat":5 bin,result:0.11397954502171273
"sinekler"->"başyapıt":1,"vasat":254,result:-2.0690054219818688
"homofobik"->"başyapıt":32,"vasat":2 bin,result:-1.4600517227060061
"gale"->"başyapıt":113,"vasat":2 bin,result:-0.9121232575424923
"yıldırım"->"başyapıt":bin,"vasat":3 bin,result:-0.14129296008159334
"fakülte"->"başyapıt":3,"vasat":406,result:-1.7955764842194626
"kusmuk"->"başyapıt":17 bin,"vasat":282,result:2.116028107696982
"aforoz"->"başyapıt":166,"vasat":29,result:1.0935383847791682
"geçer"->"başyapıt":809,"vasat":5 bin,result:-0.4551931880856774
"çizer"->"başyapıt":787,"vasat":284,result:0.7784846869500961
"mercimek"->"başyapıt":19,"vasat":809,result:-1.293366626021374
"şişirme"->"başyapıt":348,"vasat":323,result:0.3682050162535471
"geçen"->"başyapıt":12 bin,"vasat":27 bin,result:-0.01635422347329339
"anneanne"->"başyapıt":28,"vasat":2,result:1.4819563303163072
"geçek"->"başyapıt":5,"vasat":29,result:-0.4275996989248681
"yüzüstü"->"başyapıt":1,"vasat":107,result:-1.6935554830471404
"emsal"->"başyapıt":88,"vasat":765,result:-0.6033504683653799
"bakım"->"başyapıt":365,"vasat":4 bin,result:-0.7039388322334186
"bakın"->"başyapıt":602,"vasat":4 bin,result:-0.48663520543206873
"kalma"->"başyapıt":2 bin,"vasat":2 bin,result:0.3358282946380691
"gala"->"başyapıt":bin,"vasat":396,result:0.7381331087125569
"faş"->"başyapıt":18,"vasat":22,result:0.248678118919169
"rant"->"başyapıt":9,"vasat":366,result:-1.2734102813170167
"fil"->"başyapıt":304,"vasat":953,result:-0.16039102239150352
"taklidî"->"başyapıt":109,"vasat":716,result:-0.48165822972916283
"kıyak"->"başyapıt":8,"vasat":2 bin,result:-2.0621117140339686
"alıntıla"->"başyapıt":1,"vasat":1,result:0
"psikanalitik"->"başyapıt":734,"vasat":171,result:0.9685282441619859
"mekik"->"başyapıt":25,"vasat":562,result:-1.0159680122589543
"güven"->"başyapıt":786,"vasat":3 bin,result:-0.24587041404218538
"fit"->"başyapıt":61,"vasat":2 bin,result:-1.179871866015145
"atmosfer"->"başyapıt":405,"vasat":2 bin,result:-0.3577466778112435
"ab"->"başyapıt":51,"vasat":4 bin,result:-1.558661520591957
"ad"->"başyapıt":221,"vasat":3 bin,result:-0.7969006863964826
"sure"->"başyapıt":181,"vasat":602,result:-0.18608962175057087
"elim"->"başyapıt":81,"vasat":243,result:-0.14129296008159334
"gang"->"başyapıt":331,"vasat":6 bin,result:-0.9224949619698557
"barışçıl"->"başyapıt":14,"vasat":366,result:-1.0815247550781035
"ah"->"başyapıt":736,"vasat":2 bin,result:-0.0983238866884132
"sarsıntı"->"başyapıt":3,"vasat":2 bin,result:-2.48808044630625
"af"->"başyapıt":161,"vasat":320,result:0.03750419235001288
"ak"->"başyapıt":bin,"vasat":5 bin,result:-0.3631417096979497
"panik"->"başyapıt":94,"vasat":279,result:-0.13664805503582975
"al"->"başyapıt":2 bin,"vasat":10 bin,result:-0.3631417096979497
"hamam"->"başyapıt":bin,"vasat":bin,result:0.3358282946380691
"kurgusal"->"başyapıt":329,"vasat":28 bin,result:-1.5941338387541757
"am"->"başyapıt":bin,"vasat":3 bin,result:-0.14129296008159334
"ar"->"başyapıt":313,"vasat":3 bin,result:-0.6457486225351448
"an"->"başyapıt":5 bin,"vasat":21 bin,result:-0.2874209957598313
"at"->"başyapıt":2 bin,"vasat":7 bin,result:-0.20823974971220655
"as"->"başyapıt":474,"vasat":3 bin,result:-0.4655146184075082
"isyankâr"->"başyapıt":9,"vasat":774,result:-1.5986701566054986
"kademe"->"başyapıt":8,"vasat":639,result:-1.5665825765283874
"sicil"->"başyapıt":32,"vasat":419,result:-0.7812357500083202
"av"->"başyapıt":6 bin,"vasat":2 bin,result:0.8129495493577316
"gezici"->"başyapıt":20,"vasat":2 bin,result:-1.664171705361931
"huri"->"başyapıt":1,"vasat":39,result:-1.25523631238843
"ay"->"başyapıt":2 bin,"vasat":13 bin,result:-0.47708506200478645
"elit"->"başyapıt":22 bin,"vasat":bin,result:1.6782509754602755
"az"->"başyapıt":7 bin,"vasat":36 bin,result:-0.3753761661149613
"rami"->"başyapıt":2,"vasat":250,result:-1.7610817183699874
"müvekkil"->"başyapıt":1,"vasat":92,result:-1.6279595327074863
"pandomim"->"başyapıt":5 milyon,"vasat":175 bin,result:1.7917602502877934
"baraka"->"başyapıt":15 bin,"vasat":9 bin,result:0.5576770442544255
"prova"->"başyapıt":33,"vasat":3 bin,result:-1.6227790202037058
"düzeyli"->"başyapıt":232,"vasat":248,result:0.30686459870275246
"be"->"başyapıt":2 bin,"vasat":9 bin,result:-0.3173842191372746
"alevi"->"başyapıt":236,"vasat":605,result:-0.0730150770442932
"manyakça"->"başyapıt":27,"vasat":56,result:0.019004031790856017
"bu"->"başyapıt":100 bin,"vasat":235 bin,result:-0.035239567633667125
"elli"->"başyapıt":bin,"vasat":974,result:0.34726933775945357
"militarist"->"başyapıt":10 bin,"vasat":41,result:2.723044437918334
"elma"->"başyapıt":194,"vasat":510,result:-0.08394015152964121
"travma"->"başyapıt":39,"vasat":795,result:-0.9734742269919019
"panel"->"başyapıt":2 bin,"vasat":bin,result:0.6368582903020503
"şebek"->"başyapıt":1,"vasat":230,result:-2.0258995413795238
"ce"->"başyapıt":562,"vasat":451,result:0.43138806832916965
"çörek"->"başyapıt":351,"vasat":85,result:0.9517164853896005
"milenyum"->"başyapıt":103,"vasat":2 bin,result:-0.9523644763207398
"kompleks"->"başyapıt":74,"vasat":563,result:-0.5454483804823008
"dâhice"->"başyapıt":7 bin,"vasat":35,result:2.63685829030205
"senelik"->"başyapıt":556,"vasat":bin,result:0.08090308622012665
"flu"->"başyapıt":301,"vasat":671,result:-0.012327729937079587
"cm"->"başyapıt":2 bin,"vasat":5 bin,result:-0.062111714033968465
"cidden"->"başyapıt":630,"vasat":6 bin,result:-0.6429824062919928
"hareket"->"başyapıt":751,"vasat":8 bin,result:-0.691621755349706
"narkotik"->"başyapıt":1,"vasat":113,result:-1.7172501488453507
"utangaç"->"başyapıt":90,"vasat":347,result:-0.25025867071347974
"basbayağı"->"başyapıt":245,"vasat":585,result:-0.04216148707957885
"partner"->"başyapıt":37,"vasat":891,result:-1.0458476853318106
"turistik"->"başyapıt":4 bin,"vasat":2 bin,result:0.6368582903020503
"de"->"başyapıt":56 bin,"vasat":141 bin,result:-0.0652027910111103
"cehennemî"->"başyapıt":249,"vasat":138,result:0.5921485553325689
"sitem"->"başyapıt":6,"vasat":258,result:-1.2976401609415174
"atmasyon"->"başyapıt":8,"vasat":38,result:-0.3408653149867975
"gasp"->"başyapıt":9,"vasat":12,result:0.2108895580297692
"roket"->"başyapıt":22,"vasat":8 bin,result:-2.2248390115316683
"dağla"->"başyapıt":1,"vasat":16,result:-0.8682916880178556
"vasati"->"başyapıt":31,"vasat":2 bin,result:-1.4738400071916393
"dl"->"başyapıt":217,"vasat":156,result:0.479163430132137
"iştiyak"->"başyapıt":1,"vasat":28,result:-1.1113297367041501
"çapul"->"başyapıt":1,"vasat":1,result:0
"köle"->"başyapıt":32 bin,"vasat":217,result:2.5045185391094456
"do"->"başyapıt":358,"vasat":8 bin,result:-1.0133786657100001
"temenni"->"başyapıt":331 bin,"vasat":390,result:3.2645916813872886
"kaplumbağa"->"başyapıt":958,"vasat":12 bin,result:-0.7619874423310112
"dile"->"başyapıt":4 bin,"vasat":4 bin,result:0.3358282946380691
"mevzilen"->"başyapıt":1,"vasat":1,result:0
"gark"->"başyapıt":127,"vasat":251,result:0.03995829411298784
"liman"->"başyapıt":108,"vasat":270,result:-0.062111714033968465
"rakı"->"başyapıt":bin,"vasat":bin,result:0.3358282946380691
"ciddiyet"->"başyapıt":52,"vasat":3 bin,result:-1.425289616446794
"senfoni"->"başyapıt":bin,"vasat":412,result:0.7209310786049345
"vefat"->"başyapıt":141,"vasat":602,result:-0.2945490839643755
"hüküm"->"başyapıt":bin,"vasat":2 bin,result:0.03479829897408794
"ek"->"başyapıt":2 bin,"vasat":2 bin,result:0.3358282946380691
"aç"->"başyapıt":2 bin,"vasat":6 bin,result:-0.14129296008159334
"el"->"başyapıt":6 bin,"vasat":22 bin,result:-0.22844313580049352
"başar"->"başyapıt":370,"vasat":15 bin,result:-1.272061240350617
"imgele"->"başyapıt":1,"vasat":1,result:0
"em"->"başyapıt":250 bin,"vasat":644,result:2.9248824359502947
"en"->"başyapıt":64 bin,"vasat":104 bin,result:0.12497492932317597
"büro"->"başyapıt":135 bin,"vasat":231,result:3.102550083240931
"es"->"başyapıt":356,"vasat":17 bin,result:-1.3431706287673295
"et"->"başyapıt":2 bin,"vasat":10 bin,result:-0.3631417096979497
"er"->"başyapıt":283,"vasat":4 bin,result:-0.8144452611656031
"militarizm"->"başyapıt":2,"vasat":19,result:-0.6418953106507786
"yaratı"->"başyapıt":13,"vasat":23,result:0.08804381092731296
"sinyal"->"başyapıt":80,"vasat":453,result:-0.41717992038281915
"ev"->"başyapıt":994,"vasat":16 bin,result:-0.8709053036205423
"fa"->"başyapıt":35,"vasat":572,result:-0.8774996898046794
"geniş"->"başyapıt":5 bin,"vasat":8 bin,result:0.13170831198214436
"ez"->"başyapıt":35 bin,"vasat":bin,result:1.8798963389883447
"sersemle"->"başyapıt":1,"vasat":1,result:0
"salon"->"başyapıt":719,"vasat":bin,result:0.19255718502095173
"atasöz"->"başyapıt":1,"vasat":1,result:0
"örgü"->"başyapıt":338,"vasat":bin,result:-0.13525500508427613
"fi"->"başyapıt":230,"vasat":2 bin,result:-0.6034738650083191
"Doğulu"->"başyapıt":54,"vasat":320,result:-0.4369279238588683
"çekimle"->"başyapıt":3,"vasat":29,result:-0.6494484485412245
"fon"->"başyapıt":138 bin,"vasat":254,result:3.0708736644193677
"dikte"->"başyapıt":144,"vasat":155,result:0.3038590885630273
"hakikaten"->"başyapıt":942,"vasat":2 bin,result:0.008849201766965324
"dimi"->"başyapıt":133,"vasat":470,result:-0.21241792233056248
"fırça"->"başyapıt":986,"vasat":166,result:1.1095971215392253
"enteresan"->"başyapıt":306,"vasat":bin,result:-0.17845027888035087
"fos"->"başyapıt":26,"vasat":2 bin,result:-1.5502283530550942
"yutturmaca"->"başyapıt":1,"vasat":3,result:-0.14129296008159334
"oksijen"->"başyapıt":29,"vasat":11 bin,result:-2.2431663926212
"rate"->"başyapıt":1,"vasat":502,result:-2.3648754225069504
"ticari"->"başyapıt":394,"vasat":2 bin,result:-0.3697054792003379
"ağ"->"başyapıt":46 bin,"vasat":448,result:2.347308112321499
"kaybol"->"başyapıt":1,"vasat":80,result:-1.5672616923538745
"ezbere"->"başyapıt":367,"vasat":438,result:0.25902024838605897
"rast"->"başyapıt":63,"vasat":186,result:-0.13434410012626552
"politika"->"başyapıt":1000,"vasat":929,result:0.36781258064442734
"serkeş"->"başyapıt":1,"vasat":bin,result:-2.6641717053619307
"sebebiyet"->"başyapıt":bin,"vasat":491,result:0.6447468025151006
"sonbahar"->"başyapıt":623,"vasat":296,result:0.6590246302383003
"içyüz"->"başyapıt":1,"vasat":29,result:-1.126569703260887
"lirizm"->"başyapıt":19,"vasat":33,result:0.09606795571301066
"sendika"->"başyapıt":57,"vasat":306,result:-0.3940182761710195
"yazar"->"başyapıt":10 bin,"vasat":16 bin,result:0.13170831198214436
"boyut"->"başyapıt":314,"vasat":688,result:-0.004830495524227267
"muhatap"->"başyapıt":1,"vasat":484,result:-2.3490170670063435
"grup"->"başyapıt":4 bin,"vasat":10 bin,result:-0.062111714033968465
"kıyas"->"başyapıt":877,"vasat":2 bin,result:-0.022202107659871535
"form"->"başyapıt":bin,"vasat":9 bin,result:-0.6184142148012558
"he"->"başyapıt":225,"vasat":5 bin,result:-1.0109591915865872
"kibir"->"başyapıt":145,"vasat":215,result:0.1647578369574387
"boyun"->"başyapıt":971,"vasat":bin,result:0.32304752454607394
"belliki"->"başyapıt":172,"vasat":291,result:0.10746375255971077
"müziksel"->"başyapıt":186,"vasat":50,result:0.9063712345199666
"aidiyet"->"başyapıt":20,"vasat":712,result:-1.215621703334806
"tersine"->"başyapıt":212 bin,"vasat":bin,result:2.6621641555668205
"mücevher"->"başyapıt":2 bin,"vasat":2 bin,result:0.3358282946380691
"tabanca"->"başyapıt":327,"vasat":189,result:0.5739142431251111
"savaşçı"->"başyapıt":108 bin,"vasat":326,result:2.85603445005708
"ustaca"->"başyapıt":2 bin,"vasat":196,result:1.3446022189455742
"bürü"->"başyapıt":1,"vasat":1,result:0
"portal"->"başyapıt":356,"vasat":189,result:0.6108164884377001
"heyet"->"başyapıt":14,"vasat":220,result:-0.8604663505058991
"aş"->"başyapıt":2 bin,"vasat":247,result:1.2441613370423845
"il"->"başyapıt":2 bin,"vasat":3 bin,result:0.15973703558238786
"im"->"başyapıt":397,"vasat":2 bin,result:-0.36641119426279695
"ip"->"başyapıt":954,"vasat":686,result:0.4790525536354126
"özellikle"->"başyapıt":10 bin,"vasat":22 bin,result:-0.006594386184137135
"kadayıf"->"başyapıt":183,"vasat":32 bin,result:-1.9068705939514075
"is"->"başyapıt":954,"vasat":13 bin,result:-0.7985666829646726
"it"->"başyapıt":559,"vasat":2 bin,result:-0.2177898931394887
"dink"->"başyapıt":15,"vasat":420,result:-1.1113297367041501
"iv"->"başyapıt":8 bin,"vasat":532,result:1.5130066493349645
"iz"->"başyapıt":735,"vasat":bin,result:0.20211563372226404
"çello"->"başyapıt":333,"vasat":473,result:0.1834113874065774
"karmakarışık"->"başyapıt":90,"vasat":173,result:0.05202470094859853
"foto"->"başyapıt":bin,"vasat":2 bin,result:0.03479829897408794
"sadist"->"başyapıt":10,"vasat":239,result:-1.0425696063100685
"ozon"->"başyapıt":695,"vasat":366,result:0.6143320138337723
"küresel"->"başyapıt":586,"vasat":5 bin,result:-0.595244093679859
"kasaba"->"başyapıt":4 bin,"vasat":494,result:1.2441613370423845
"illüzyonist"->"başyapıt":1,"vasat":181,result:-1.9218502802311155
"yazgı"->"başyapıt":27,"vasat":58,result:0.003764065234119169
"hafız"->"başyapıt":6,"vasat":2 bin,result:-2.1870504506422686
"kırmızı"->"başyapıt":4 bin,"vasat":10 bin,result:-0.062111714033968465
"yazma"->"başyapıt":2 bin,"vasat":3 bin,result:0.15973703558238786
"seyis"->"başyapıt":1,"vasat":3,result:-0.14129296008159334
"diri"->"başyapıt":531,"vasat":bin,result:0.0609228157195382
"seyir"->"başyapıt":188,"vasat":2 bin,result:-0.6910438517622322
"gaye"->"başyapıt":23,"vasat":6 bin,result:-2.0805951197279815
"eğ"->"başyapıt":318,"vasat":158,result:0.6395983276680792
"izahat"->"başyapıt":1,"vasat":12,result:-0.7433529514095557
"minnettar"->"başyapıt":50,"vasat":38,result:0.45501470235727787
"km"->"başyapıt":155,"vasat":6 bin,result:-1.251991257575283
"aleni"->"başyapıt":121,"vasat":63 bin,result:-2.3807268844990626
"terminoloji"->"başyapıt":4,"vasat":21,result:-0.3843310087678878
"köre"->"başyapıt":1,"vasat":25,result:-1.0621117140339684
"yorum"->"başyapıt":13 bin,"vasat":12 bin,result:0.370590400897281
"yegâne"->"başyapıt":122 bin,"vasat":903,result:2.4665003749993115
"sına"->"başyapıt":254,"vasat":210,result:0.41844271652408793
"la"->"başyapıt":9 bin,"vasat":14 bin,result:0.14394276839915598
"zaten"->"başyapıt":10 bin,"vasat":34 bin,result:-0.19565062240418601
"ideoloji"->"başyapıt":73,"vasat":224,result:-0.15109686357563776
"sızla"->"başyapıt":1,"vasat":1,result:0
"mantıksal"->"başyapıt":28,"vasat":2 bin,result:-1.5180436696836928
"ıssız"->"başyapıt":2 bin,"vasat":580,result:0.873430296739113
"mahvol"->"başyapıt":1,"vasat":1,result:0
"dikiz"->"başyapıt":36,"vasat":853,result:-1.0388182357621667
"merkez"->"başyapıt":315,"vasat":10 bin,result:-1.1658611515723303
"ful"->"başyapıt":25 bin,"vasat":2 bin,result:1.4327383076461255
"çelim"->"başyapıt":1,"vasat":503,result:-2.3657396904178585
"bekle"->"başyapıt":141,"vasat":691,result:-0.3544306400807493
"çelik"->"başyapıt":943,"vasat":2 bin,result:0.009309991711416284
"düşman"->"başyapıt":243,"vasat":bin,result:-0.27856543176361864
"Somalili"->"başyapıt":1,"vasat":60,result:-1.4423229557455746
"kahret"->"başyapıt":1,"vasat":1,result:0
"limit"->"başyapıt":3 bin,"vasat":536,result:1.0837847596649615
"me"->"başyapıt":2 bin,"vasat":3 bin,result:0.15973703558238786
"fistan"->"başyapıt":1,"vasat":42,result:-1.2874209957598315
"eş"->"başyapıt":763,"vasat":5 bin,result:-0.48061717174306917
"mi"->"başyapıt":10 bin,"vasat":46 bin,result:-0.32692953704350497
"bakarak"->"başyapıt":332,"vasat":2 bin,result:-0.4440636173218757
"iç"->"başyapıt":7 bin,"vasat":16 bin,result:-0.023193648003598813
"felsefi"->"başyapıt":2 bin,"vasat":372,result:1.0663153504201528
"mm"->"başyapıt":bin,"vasat":bin,result:0.3358282946380691
"felsefe"->"başyapıt":4 bin,"vasat":207,result:1.6219179405091138
"dolambaç"->"başyapıt":1,"vasat":1,result:0
"foya"->"başyapıt":1,"vasat":1,result:0
"fetiş"->"başyapıt":14 bin,"vasat":2 bin,result:1.180926334652326
"ihtiras"->"başyapıt":218,"vasat":13 bin,result:-1.4396585640641628
"enişte"->"başyapıt":36,"vasat":30,result:0.4150095406856939
"City"->"başyapıt":3 bin,"vasat":3 bin,result:0.3358282946380691
"iğrenç"->"başyapıt":716,"vasat":7 bin,result:-0.6543567230683321
"nişanlı"->"başyapıt":233,"vasat":19,result:1.424430614711259
"disk"->"başyapıt":265,"vasat":434,result:0.12158443906236624
"heybe"->"başyapıt":19,"vasat":69 bin,result:-3.224267195146357
"müze"->"başyapıt":3 bin,"vasat":495,result:1.1183443504241628
"ne"->"başyapıt":19 bin,"vasat":84 bin,result:-0.30969739047098355
"kesintili"->"başyapıt":1,"vasat":11,result:-0.705564390520156
"gazi"->"başyapıt":797,"vasat":5 bin,result:-0.46168338830183736
"derece"->"başyapıt":6 bin,"vasat":23 bin,result:-0.2477482909958801
"oldukça"->"başyapıt":5 bin,"vasat":35 bin,result:-0.5092697453761877
"no"->"başyapıt":3 bin,"vasat":11 bin,result:-0.22844313580049352
"kısaca"->"başyapıt":2 bin,"vasat":6 bin,result:-0.14129296008159334
"boylu"->"başyapıt":91,"vasat":2 bin,result:-1.0061603087048185
"heba"->"başyapıt":196,"vasat":693,result:-0.2126488686172616
"hiciv"->"başyapıt":691,"vasat":168,result:0.9499970602864046
"zıpla"->"başyapıt":1,"vasat":437,result:-2.3046531423323526
"büyü"->"başyapıt":538,"vasat":432,result:0.4311268234895463
"dejenerasyon"->"başyapıt":32,"vasat":30,result:0.3638570182383126
"hafiften"->"başyapıt":85,"vasat":2 bin,result:-1.0357827753116193
"fayda"->"başyapıt":2 bin,"vasat":3 bin,result:0.15973703558238786
"abartı"->"başyapıt":302,"vasat":bin,result:-0.18416476240478025
"sırt"->"başyapıt":92,"vasat":461,result:-0.3640848034060237
"od"->"başyapıt":214,"vasat":3 bin,result:-0.8108791867324024
"boyla"->"başyapıt":868,"vasat":54,result:1.5419542599915925
"ol"->"başyapıt":4 bin,"vasat":6 bin,result:0.15973703558238786
"ok"->"başyapıt":307,"vasat":2 bin,result:-0.47806332554872555
"boyle"->"başyapıt":179,"vasat":4 bin,result:-1.0133786657100001
"riayet"->"başyapıt":17,"vasat":382,result:-1.0157861468953657
"on"->"başyapıt":8 bin,"vasat":13 bin,result:0.12497492932317597
"cevir"->"başyapıt":198 bin,"vasat":2 bin,result:2.331463489235619
"salya"->"başyapıt":148,"vasat":234,result:0.1368741526228837
"ot"->"başyapıt":17 bin,"vasat":2 bin,result:1.265247220352362
"böğürtü"->"başyapıt":1,"vasat":8,result:-0.5672616923538745
"boyna"->"başyapıt":32,"vasat":51,result:0.1334080968600387
"sırf"->"başyapıt":bin,"vasat":8 bin,result:-0.5672616923538745
"sön"->"başyapıt":1,"vasat":9,result:-0.6184142148012558
"sök"->"başyapıt":1,"vasat":66,result:-1.4837156409037995
"başyapıt"->"başyapıt":1 milyon,"vasat":885,result:9.5
"oy"->"başyapıt":691,"vasat":10 bin,result:-0.8246936579877324
"sör"->"başyapıt":1,"vasat":16,result:-0.8682916880178556
"salakça"->"başyapıt":19,"vasat":252,result:-0.786818645190646
"söv"->"başyapıt":1,"vasat":712,result:-2.5166516989987873
"söz"->"başyapıt":6 bin,"vasat":13 bin,result:3.619271487605908E-5
"sıra"->"başyapıt":5 bin,"vasat":14 bin,result:-0.1113297367041501
"boynuzlan"->"başyapıt":1,"vasat":1,result:0
"pi"->"başyapıt":294,"vasat":302,result:0.3241686820930758
"hırs"->"başyapıt":3 bin,"vasat":424,result:1.185583692764999
"hırt"->"başyapıt":1,"vasat":7 bin,result:-3.5092697453761876
"evlen"->"başyapıt":50,"vasat":57,result:0.2789234433015965
"sıkı"->"başyapıt":455,"vasat":4 bin,result:-0.6082203000327808
"mizahi"->"başyapıt":576,"vasat":202,result:0.7908994086146574
"salam"->"başyapıt":1,"vasat":480,result:-2.3454129427375183
"kötü"->"başyapıt":4 bin,"vasat":83 bin,result:-0.9811898064100424
"salak"->"başyapıt":719,"vasat":3 bin,result:-0.2845640696987107
"seci"->"başyapıt":32,"vasat":2,result:1.5399482772939939
"iş"->"başyapıt":3 bin,"vasat":23 bin,result:-0.5487782866598613
"ölümcül"->"başyapıt":bin,"vasat":231,result:0.9722163147459248
"hırpala"->"başyapıt":1,"vasat":1,result:0
"böl"->"başyapıt":9,"vasat":2 bin,result:-2.010959191586587
"gülümse"->"başyapıt":183,"vasat":412,result:-0.01661783166463597
"bön"->"başyapıt":350,"vasat":36 bin,result:-1.6764061617789425
"sıhhiye"->"başyapıt":10,"vasat":26,result:-0.0791450533327488
"izlence"->"başyapıt":7,"vasat":78,result:-0.7111682680381544
"konsantre"->"başyapıt":194,"vasat":941,result:-0.3499595988589617
"hece"->"başyapıt":575,"vasat":2 bin,result:-0.20553385633628157
"hümanist"->"başyapıt":531,"vasat":366,result:0.4974417303251275
"yadırga"->"başyapıt":1,"vasat":1,result:0
"re"->"başyapıt":bin,"vasat":2 bin,result:0.03479829897408794
"belki"->"başyapıt":9 bin,"vasat":23 bin,result:-0.07165703194019883
"örtü"->"başyapıt":137,"vasat":357,result:-0.08011935431771726
"sondaj"->"başyapıt":3,"vasat":462,result:-1.8516924261983938
"harakiri"->"başyapıt":36,"vasat":71,result:0.040872446686281066
"kaskatı"->"başyapıt":16,"vasat":6 bin,result:-2.2382029730896496
"terfi"->"başyapıt":201,"vasat":359,result:0.08392990348023883
"viran"->"başyapıt":1,"vasat":37,result:-1.232373429428926
"viraj"->"başyapıt":5,"vasat":2 bin,result:-2.266231696689893
"sözleşme"->"başyapıt":126,"vasat":2 bin,result:-0.8648311559083491
"adaylık"->"başyapıt":266,"vasat":308,result:0.27215921476869187
"elektrik"->"başyapıt":85 bin,"vasat":3 bin,result:1.7881259656326993
"üstlük"->"başyapıt":60,"vasat":739,result:-0.7546648933731129
"nü"->"başyapıt":3 bin,"vasat":bin,result:0.8129495493577316
"kudur"->"başyapıt":1,"vasat":18,result:-0.9194442104652369
"muzip"->"başyapıt":3,"vasat":752,result:-2.0632682912339106
"belli"->"başyapıt":2 bin,"vasat":19 bin,result:-0.6418953106507786
"bedava"->"başyapıt":293,"vasat":2 bin,result:-0.4983340806718026
"ziya"->"başyapıt":260,"vasat":898,result:-0.20247469405841723
"razı"->"başyapıt":181,"vasat":5 bin,result:-1.1054631348287651
"aylarca"->"başyapıt":826,"vasat":277,result:0.8103285728940028
"Hazar"->"başyapıt":346,"vasat":469,result:0.20373155071576252
"dilim"->"başyapıt":286,"vasat":3 bin,result:-0.6849269269525503
"si"->"başyapıt":bin,"vasat":6 bin,result:-0.44232295574557456
"belle"->"başyapıt":121,"vasat":142,result:0.2663253205714627
"temizle"->"başyapıt":1,"vasat":37,result:-1.232373429428926
"fizyolojik"->"başyapıt":1,"vasat":247,result:-2.0568686586215965
"dizi"->"başyapıt":11 bin,"vasat":17 bin,result:0.14677205841802024
"mahvet"->"başyapıt":1,"vasat":1,result:0
"imparatorluk"->"başyapıt":567,"vasat":777,result:0.19899033473006147
"basınç"->"başyapıt":60,"vasat":189,result:-0.16248225915153136
"imtihan"->"başyapıt":25,"vasat":255,result:-0.6727718771238484
"dize"->"başyapıt":514,"vasat":2 bin,result:-0.2542385820306363
"eğlendiri"->"başyapıt":1,"vasat":1,result:0
